tempo_s;id_caminhao;estado;e_defeito;e_automatico;i_posicao_x;i_posicao_y;i_angulo_x;i_temperatura;o_aceleracao;o_direcao;evento
0.000182923;3;Parado;0;1;60;0;0;40;0;0;
0.403575;3;Em movimento;0;1;60;0;0;40;0;0;
0.91095;3;Em movimento;0;1;60;0;0;40;0;0;
1.41496;3;Parado;0;1;60;0;0;40;0;0;
1.91974;3;Parado;0;1;60;0;0;40;0;0;
2.42223;3;Parado;0;1;60;0;0;40;0;0;
2.92657;3;Parado;0;1;60;0;0;40;0;0;
3.43086;3;Parado;0;1;60;0;0;40;0;0;
3.93435;3;Parado;0;1;60;0;0;40;0;0;
4.43778;3;Parado;0;1;60;0;0;40;0;0;
4.94298;3;Parado;0;1;60;0;0;40;0;0;
5.44927;3;Parado;0;1;60;0;0;40;0;0;
5.95226;3;Parado;0;1;60;0;0;40;0;0;
6.45774;3;Parado;0;1;60;0;0;40;0;0;
6.96351;3;Parado;0;1;60;0;0;40;0;0;
7.4681;3;Parado;0;1;60;0;0;40;0;0;
7.97245;3;Parado;0;1;60;0;0;40;0;0;
8.47801;3;Parado;0;1;60;0;0;40;0;0;
8.98093;3;Parado;0;1;60;0;0;40;0;0;
9.48496;3;Parado;0;1;60;0;0;40;0;0;
9.98986;3;Parado;0;1;60;0;0;40;0;0;
10.4936;3;Parado;0;1;60;0;0;40;0;0;
10.9971;3;Parado;0;1;60;0;0;40;0;0;
11.5021;3;Parado;0;1;61;0;0;40;0;0;
12.0066;3;Parado;0;1;60;0;0;40;0;0;
12.5108;3;Parado;0;1;61;0;0;40;0;0;
13.0159;3;Parado;0;1;61;0;0;40;0;0;
13.5205;3;Parado;0;1;61;0;0;40;0;0;
14.0242;3;Parado;0;1;61;0;0;40;0;0;
14.53;3;Parado;0;1;61;0;0;40;0;0;
15.0343;3;Parado;0;1;60;0;0;40;0;0;
15.54;3;Parado;0;1;60;0;0;40;0;0;
16.0456;3;Parado;0;1;61;0;0;40;0;0;
16.5506;3;Parado;0;1;61;0;0;40;0;0;
17.0555;3;Parado;0;1;61;0;0;40;0;0;
17.5609;3;Parado;0;1;61;0;0;40;0;0;
17.9651;3;Parado;0;1;61;0;0;40;0;0;
18.4703;3;Parado;0;1;61;0;0;40;0;0;
18.9748;3;Parado;0;1;61;0;0;40;0;0;
19.4803;3;Parado;0;1;61;0;0;40;0;0;
19.984;3;Parado;0;1;61;0;0;40;0;0;
20.4892;3;Parado;0;1;61;0;0;40;0;0;
20.9935;3;Parado;0;1;61;0;0;40;0;0;
21.4989;3;Parado;0;1;61;0;0;40;0;0;
22.0036;3;Parado;0;1;61;0;0;40;0;0;
22.5097;3;Parado;0;1;61;0;0;40;0;0;
23.0138;3;Parado;0;1;61;0;0;40;0;0;
23.5189;3;Parado;0;1;60;0;0;40;0;0;
24.0225;3;Parado;0;1;61;0;0;40;0;0;
24.526;3;Parado;0;1;61;0;0;40;0;0;
25.028;3;Parado;0;1;61;0;0;40;0;0;
25.5306;3;Parado;0;1;61;0;0;40;0;0;
26.033;3;Parado;0;1;61;0;0;40;0;0;
26.5359;3;Parado;0;1;61;0;0;40;0;0;
27.0398;3;Parado;0;1;61;0;0;40;0;0;
27.5422;3;Parado;0;1;61;0;0;40;0;0;
28.0454;3;Parado;0;1;61;0;0;40;0;0;
28.5501;3;Parado;0;1;61;0;0;40;0;0;
29.0517;3;Parado;0;1;61;0;0;40;0;0;
29.5559;3;Parado;0;1;61;0;0;40;0;0;
30.0611;3;Parado;0;1;61;0;0;40;0;0;
30.5634;3;Parado;0;1;61;0;0;40;0;0;
31.0667;3;Parado;0;1;61;0;0;40;0;0;
31.5704;3;Parado;0;1;61;0;0;40;0;0;
32.0729;3;Parado;0;1;61;0;0;40;0;0;
32.5755;3;Parado;0;1;61;0;0;40;0;0;
33.0799;3;Parado;0;1;61;0;0;40;0;0;
33.5833;3;Parado;0;1;61;0;0;40;0;0;
34.0902;3;Parado;0;1;61;0;0;40;0;0;
34.5957;3;Parado;0;1;61;0;0;40;0;0;
35.1007;3;Parado;0;1;61;0;0;40;0;0;
35.607;3;Parado;0;1;61;0;0;40;0;0;
36.1127;3;Parado;0;1;61;0;0;40;0;0;
36.6195;3;Parado;0;1;61;0;0;40;0;0;
37.1248;3;Parado;0;1;61;0;0;40;0;0;
37.5303;3;Parado;0;1;61;0;0;40;0;0;
38.0362;3;Parado;0;1;61;0;0;40;0;0;
38.5435;3;Parado;0;1;61;0;0;40;0;0;
39.0505;3;Parado;0;1;61;0;0;40;0;0;
39.5548;3;Parado;0;1;61;0;0;40;0;0;
40.0597;3;Parado;0;1;61;0;0;40;0;0;
40.5613;3;Parado;0;1;61;0;0;40;0;0;
