tempo_s;id_caminhao;estado;e_defeito;e_automatico;i_posicao_x;i_posicao_y;i_angulo_x;i_temperatura;o_aceleracao;o_direcao;evento
0.00258606;1;Parado;0;1;0;0;0;40;0;0;
0.413336;1;Parado;0;1;0;0;0;40;0;0;
0.920536;1;Parado;0;1;0;0;0;40;0;0;
1.42761;1;Parado;0;1;0;0;0;40;0;0;
1.93419;1;Parado;0;1;0;0;0;40;0;0;
2.43643;1;Parado;0;1;0;0;0;40;0;0;
2.94394;1;Parado;0;1;0;0;0;40;0;0;
3.44981;1;Parado;0;1;0;0;0;40;0;0;
3.96146;1;Parado;0;1;0;0;0;40;0;0;
4.46909;1;Parado;0;1;0;0;0;40;0;0;
4.9853;1;Parado;0;1;0;0;0;40;0;0;
5.48805;1;Parado;0;1;0;0;0;40;0;0;
5.99235;1;Parado;0;1;0;0;0;40;0;0;
6.50704;1;Parado;0;1;0;0;0;40;0;0;
7.01267;1;Parado;0;1;0;0;0;40;0;0;
7.52705;1;Parado;0;1;0;0;0;40;0;0;
8.03935;1;Parado;0;1;0;0;0;40;0;0;
8.54189;1;Parado;0;1;0;0;0;40;0;0;
9.04944;1;Parado;0;1;0;0;0;40;0;0;
9.46255;1;Parado;0;1;0;0;0;40;0;0;
9.96982;1;Parado;0;1;0;0;0;40;0;0;
10.4738;1;Parado;0;1;0;0;0;40;0;0;
10.9847;1;Parado;0;1;0;0;0;40;0;0;
11.4903;1;Parado;0;1;0;0;0;40;0;0;
