tempo_s;id_caminhao;estado;e_defeito;e_automatico;i_posicao_x;i_posicao_y;i_angulo_x;i_temperatura;o_aceleracao;o_direcao;evento
0.000100522;4;Parado;0;1;90;0;0;40;0;0;
0.405816;4;Em movimento;0;1;90;0;0;40;0;0;
0.915231;4;Em movimento;0;1;90;0;0;40;0;0;
1.42332;4;Em movimento;0;1;90;0;0;40;0;0;
1.92941;4;Em movimento;0;1;90;0;0;40;0;0;
2.43527;4;Em movimento;0;1;90;0;0;40;0;0;
2.94887;4;Em movimento;0;1;90;0;0;40;0;0;
3.4733;4;Em movimento;0;1;91;0;0;40;0;0;
3.99459;4;Em movimento;0;1;91;0;0;40;0;0;
4.51882;4;Em movimento;0;1;91;0;0;40;0;0;
4.94462;4;Em movimento;0;1;91;0;0;40;0;0;
5.45244;4;Parado;0;1;91;0;0;40;0;0;
5.95917;4;Parado;0;1;91;0;0;40;0;0;
6.46507;4;Parado;0;1;91;0;0;40;0;0;
6.97845;4;Parado;0;1;91;0;0;40;0;0;
7.49777;4;Parado;0;1;91;0;0;40;0;0;
8.01325;4;Parado;0;1;91;0;0;40;0;0;
8.53161;4;Parado;0;1;91;0;0;40;0;0;
8.95138;4;Parado;0;1;91;0;0;40;0;0;
9.48676;4;Parado;0;1;91;0;0;40;0;0;
10.0264;4;Parado;0;1;91;0;0;40;0;0;
10.5478;4;Parado;0;1;91;0;0;40;0;0;
11.0775;4;Parado;0;1;91;0;0;40;0;0;
11.4956;4;Parado;0;1;91;0;0;40;0;0;
12.0257;4;Parado;0;1;91;0;0;40;0;0;
12.5357;4;Parado;0;1;91;0;0;40;0;0;
13.0419;4;Parado;0;1;91;0;0;40;0;0;
13.5459;4;Parado;0;1;91;0;0;40;0;0;
14.0526;4;Parado;0;1;91;0;0;40;0;0;
14.5577;4;Parado;0;1;91;0;0;40;0;0;
15.0613;4;Parado;0;1;91;0;0;40;0;0;
15.5669;4;Parado;0;1;91;0;0;40;0;0;
16.0777;4;Parado;0;1;91;0;0;40;0;0;
16.586;4;Parado;0;1;91;0;0;40;0;0;
17.089;4;Parado;0;1;91;0;0;40;0;0;
17.6067;4;Parado;0;1;91;0;0;40;0;0;
18.1226;4;Parado;0;1;91;0;0;40;0;0;
18.6341;4;Parado;0;1;91;0;0;40;0;0;
19.0404;4;Parado;0;1;91;0;0;40;0;0;
19.5458;4;Parado;0;1;91;0;0;40;0;0;
20.0488;4;Parado;0;1;91;0;0;40;0;0;
20.5544;4;Parado;0;1;91;0;0;40;0;0;
21.0612;4;Parado;0;1;91;0;0;40;0;0;
21.5689;4;Parado;0;1;91;0;0;40;0;0;
22.0746;4;Parado;0;1;91;0;0;40;0;0;
22.5862;4;Parado;0;1;91;0;0;40;0;0;
23.1101;4;Parado;0;1;91;0;0;40;0;0;
23.6317;4;Parado;0;1;91;0;0;40;0;0;
24.0577;4;Parado;0;1;91;0;0;40;0;0;
24.5827;4;Parado;0;1;91;0;0;40;0;0;
25.1199;4;Parado;0;1;91;0;0;40;0;0;
25.6266;4;Parado;0;1;91;0;0;40;0;0;
26.1314;4;Parado;0;1;91;0;0;40;0;0;
26.6381;4;Parado;0;1;91;0;0;40;0;0;
27.1439;4;Parado;0;1;91;0;0;40;0;0;
27.6487;4;Parado;0;1;91;0;0;40;0;0;
28.1571;4;Parado;0;1;91;0;0;40;0;0;
28.6596;4;Parado;0;1;91;0;0;40;0;0;
29.1779;4;Parado;0;1;91;0;0;40;0;0;
29.6906;4;Parado;0;1;91;0;0;40;0;0;
30.1003;4;Parado;0;1;91;0;0;40;0;0;
30.6177;4;Parado;0;1;91;0;0;40;0;0;
31.1483;4;Parado;0;1;91;0;0;40;0;0;
31.6956;4;Parado;0;1;91;0;0;40;0;0;
32.1277;4;Parado;0;1;91;0;0;40;0;0;
32.6407;4;Parado;0;1;91;0;0;40;0;0;
33.1489;4;Parado;0;1;91;0;0;40;0;0;
33.655;4;Parado;0;1;91;0;0;40;0;0;
34.1595;4;Parado;0;1;91;0;0;40;0;0;
34.6653;4;Parado;0;1;91;0;0;40;0;0;
35.1719;4;Parado;0;1;91;0;0;40;0;0;
35.6764;4;Parado;0;1;91;0;0;40;0;0;
36.1961;4;Parado;0;1;91;0;0;40;0;0;
36.7124;4;Parado;0;1;91;0;0;40;0;0;
37.2197;4;Parado;0;1;91;0;0;40;0;0;
37.7395;4;Parado;0;1;91;0;0;40;0;0;
38.1594;4;Parado;0;1;91;0;0;40;0;0;
38.6793;4;Parado;0;1;91;0;0;40;0;0;
39.1881;4;Parado;0;1;91;0;0;40;0;0;
39.6956;4;Parado;0;1;91;0;0;40;0;0;
40.2026;4;Parado;0;1;91;0;0;40;0;0;
40.7265;4;Parado;0;1;91;0;0;40;0;0;
41.2548;4;Parado;0;1;91;0;0;40;0;0;
41.6809;4;Parado;0;1;91;0;0;40;0;0;
