tempo_s;id_caminhao;estado;e_defeito;e_automatico;i_posicao_x;i_posicao_y;i_angulo_x;i_temperatura;o_aceleracao;o_direcao;evento
55.6799;3;Parado;0;1;61;0;0;40;0;0;
56.1848;3;Parado;0;1;61;0;0;40;0;0;
56.6898;3;Parado;0;1;61;0;0;40;0;0;
57.1965;3;Parado;0;1;61;0;0;40;0;0;
57.7012;3;Parado;0;1;61;0;0;40;0;0;
58.2077;3;Parado;0;1;61;0;0;40;0;0;
58.7149;3;Parado;0;1;61;0;0;40;0;0;
59.2183;3;Parado;0;1;61;0;0;40;0;0;
59.7252;3;Parado;0;1;61;0;0;40;0;0;
60.2299;3;Parado;0;1;61;0;0;40;0;0;
60.7323;3;Parado;0;1;61;0;0;40;0;0;
61.1369;3;Parado;0;1;61;0;0;40;0;0;
61.6438;3;Parado;0;1;61;0;0;40;0;0;
62.1471;3;Parado;0;1;61;0;0;40;0;0;
62.6525;3;Parado;0;1;61;0;0;40;0;0;
63.1588;3;Parado;0;1;61;0;0;40;0;0;
63.6663;3;Parado;0;1;61;0;0;40;0;0;
64.1747;3;Parado;0;1;61;0;0;40;0;0;
64.679;3;Parado;0;1;61;0;0;40;0;0;
65.1868;3;Parado;0;1;61;0;0;40;0;0;
65.6945;3;Parado;0;1;61;0;0;40;0;0;
66.2002;3;Parado;0;1;61;0;0;40;0;0;
66.7094;3;Parado;0;1;61;0;0;40;0;0;
67.2164;3;Parado;0;1;61;0;0;40;0;0;
67.7222;3;Parado;0;1;61;0;0;40;0;0;
68.2243;3;Parado;0;1;61;0;0;40;0;0;
68.7283;3;Parado;0;1;61;0;0;40;0;0;
69.2326;3;Parado;0;1;61;0;0;40;0;0;
69.7354;3;Parado;0;1;61;0;0;40;0;0;
70.2384;3;Parado;0;1;61;0;0;40;0;0;
70.7428;3;Parado;0;1;61;0;0;40;0;0;
71.2459;3;Parado;0;1;61;0;0;40;0;0;
71.7497;3;Parado;0;1;61;0;0;40;0;0;
72.2546;3;Parado;0;1;61;0;0;40;0;0;
72.7587;3;Parado;0;1;61;0;0;40;0;0;
73.2625;3;Parado;0;1;61;0;0;40;0;0;
73.766;3;Parado;0;1;61;0;0;40;0;0;
74.27;3;Parado;0;1;61;0;0;40;0;0;
74.7746;3;Parado;0;1;61;0;0;40;0;0;
75.2782;3;Parado;0;1;61;0;0;40;0;0;
75.7832;3;Parado;0;1;61;0;0;40;0;0;
76.2868;3;Parado;0;1;61;0;0;40;0;0;
76.7919;3;Parado;0;1;61;0;0;40;0;0;
77.2971;3;Parado;0;1;61;0;0;40;0;0;
77.7028;3;Parado;0;1;61;0;0;40;0;0;
78.2068;3;Parado;0;1;61;0;0;40;0;0;
78.714;3;Parado;0;1;61;0;0;40;0;0;
79.216;3;Parado;0;1;61;0;0;40;0;0;
79.7189;3;Parado;0;1;61;0;0;40;0;0;
80.2252;3;Parado;0;1;61;0;0;40;0;0;
80.7324;3;Parado;0;1;61;0;0;40;0;0;
81.2349;3;Parado;0;1;61;0;0;40;0;0;
81.7386;3;Parado;0;1;61;0;0;40;0;0;
82.2399;3;Parado;0;1;61;0;0;40;0;0;
82.7466;3;Parado;0;1;61;0;0;40;0;0;
83.254;3;Parado;0;1;61;0;0;40;0;0;
83.7605;3;Parado;0;1;61;0;0;40;0;0;
84.2641;3;Parado;0;1;61;0;0;40;0;0;
84.7674;3;Parado;0;1;61;0;0;40;0;0;
85.2704;3;Parado;0;1;61;0;0;40;0;0;
85.7734;3;Parado;0;1;61;0;0;40;0;0;
86.279;3;Parado;0;1;61;0;0;40;0;0;
