tempo_s;id_caminhao;estado;e_defeito;e_automatico;i_posicao_x;i_posicao_y;i_angulo_x;i_temperatura;o_aceleracao;o_direcao;evento
0.00404472;2;Parado;0;1;30;0;0;40;0;0;
0.410211;2;Parado;0;1;30;0;0;40;0;0;
0.914499;2;Parado;0;1;30;0;0;40;0;0;
1.41756;2;Parado;0;1;30;0;0;40;0;0;
1.92109;2;Parado;0;1;30;0;0;40;0;0;
2.42417;2;Parado;0;1;30;0;0;40;0;0;
2.93024;2;Parado;0;1;30;0;0;40;0;0;
3.43603;2;Parado;0;1;30;0;0;40;0;0;
3.94307;2;Parado;0;1;30;0;0;40;0;0;
4.44971;2;Parado;0;1;30;0;0;40;0;0;
4.95305;2;Parado;0;1;30;0;0;40;0;0;
5.4597;2;Parado;0;1;30;0;0;40;0;0;
5.96485;2;Parado;0;1;30;0;0;40;0;0;
6.46876;2;Parado;0;1;30;0;0;40;0;0;
6.97244;2;Parado;0;1;30;0;0;40;0;0;
7.47872;2;Parado;0;1;30;0;0;40;0;0;
7.98185;2;Parado;0;1;30;0;0;40;0;0;
8.48882;2;Em movimento;0;1;30;0;-68;40;59;-170;
8.99386;2;Em movimento;0;1;30;0;-153;40;59;-170;
9.50079;2;Em movimento;0;1;30;0;-170;40;59;-170;
10.0078;2;Em movimento;0;1;29;0;-170;41;58;-170;
10.5123;2;Em movimento;0;1;28;0;-170;41;57;-170;
11.0187;2;Em movimento;0;1;27;-1;-170;42;56;-170;
11.5223;2;Em movimento;0;1;26;-1;-171;43;55;-171;
12.0273;2;Em movimento;0;1;24;-1;-171;43;54;-170;
12.5297;2;Em movimento;0;1;23;-1;-170;44;52;-170;
13.0366;2;Em movimento;0;1;21;-1;-170;45;51;-170;
13.5424;2;Em movimento;0;1;20;-2;-170;45;49;-171;
14.0502;2;Em movimento;0;1;18;-2;-171;45;47;-170;
14.5534;2;Em movimento;0;1;16;-2;-170;46;45;-170;
15.0619;2;Em movimento;0;1;14;-3;-170;46;43;-169;
15.5702;2;Em movimento;0;1;12;-3;-170;47;42;-170;
16.0781;2;Em movimento;0;1;10;-3;-170;47;40;-170;
16.5863;2;Em movimento;0;1;8;-4;-170;47;37;-171;
16.9932;2;Em movimento;0;1;7;-4;-171;47;36;-170;
17.4969;2;Em movimento;0;1;5;-4;-170;47;34;-170;
17.9997;2;Em movimento;0;1;3;-4;-170;47;32;-169;
18.5028;2;Em movimento;0;1;1;-5;-170;47;29;-171;
19.0111;2;Em movimento;0;1;-1;-5;-170;47;28;-170;
19.5158;2;Em movimento;0;1;-3;-6;-170;47;26;-169;
20.0248;2;Em movimento;0;1;-4;-6;-170;47;24;-171;
20.531;2;Em movimento;0;1;-6;-6;-171;47;22;-170;
21.0368;2;Em movimento;0;1;-8;-7;-170;47;21;-169;
21.5424;2;Em movimento;0;1;-9;-7;-170;47;19;-171;
22.0483;2;Em movimento;0;1;-11;-7;-171;47;17;-171;
22.5526;2;Em movimento;0;1;-12;-7;-170;47;16;-169;
23.0596;2;Em movimento;0;1;-14;-8;-170;46;14;-172;
23.5641;2;Em movimento;0;1;-15;-8;-171;46;13;-171;
24.0696;2;Em movimento;0;1;-17;-8;-171;46;12;-171;
24.5741;2;Em movimento;0;1;-18;-8;-171;46;10;-170;
25.088;2;Em movimento;0;1;-19;-8;-170;46;9;-169;
25.5941;2;Em movimento;0;1;-20;-9;-169;45;8;-173;
26.0998;2;Em movimento;0;1;-21;-9;-171;45;7;-172;
26.6066;2;Em movimento;0;1;-22;-9;-172;45;6;-171;
27.1121;2;Em movimento;0;1;-23;-9;-171;45;5;-169;
27.6171;2;Em movimento;0;1;-24;-9;-170;44;4;-169;
28.1228;2;Em movimento;0;1;-25;-9;-168;44;3;-166;
28.6291;2;Em movimento;0;1;-25;-9;-164;44;3;-162;
29.134;2;Em movimento;0;1;-26;-10;-59;44;2;180;
29.64;2;Em movimento;0;1;-27;-10;112;43;0;180;
30.1475;2;Em movimento;0;1;-27;-10;180;43;0;180;
30.6538;2;Em movimento;0;1;-28;-10;180;43;0;180;
31.1579;2;Em movimento;0;1;-28;-10;180;43;0;180;
31.5626;2;Em movimento;0;1;-29;-10;180;42;0;180;
32.0701;2;Em movimento;0;1;-29;-10;180;42;0;180;
32.579;2;Em movimento;0;1;-29;-10;180;42;0;180;
33.0849;2;Em movimento;0;1;-30;-10;144;42;2;0;
33.5897;2;Em movimento;0;1;-30;-10;54;42;2;0;
34.0955;2;Em movimento;0;1;-30;-10;0;42;2;0;
34.5988;2;Em movimento;0;1;-29;-10;0;41;0;0;
35.1031;2;Em movimento;0;1;-29;-10;0;41;0;0;
35.6083;2;Em movimento;0;1;-29;-10;0;41;0;0;
36.1115;2;Em movimento;0;1;-28;-10;0;41;0;0;
36.6167;2;Em movimento;0;1;-28;-10;0;41;0;0;
37.1201;2;Em movimento;0;1;-28;-10;0;41;0;0;
37.625;2;Em movimento;0;1;-28;-10;0;41;0;0;
38.1311;2;Em movimento;0;1;-28;-10;0;41;0;0;
38.6379;2;Em movimento;0;1;-28;-10;0;41;0;0;
39.1409;2;Em movimento;0;1;-28;-10;0;41;0;0;
39.646;2;Em movimento;0;1;-27;-10;0;41;0;0;
40.1499;2;Em movimento;0;1;-27;-10;0;41;0;0;
40.6549;2;Em movimento;0;1;-27;-10;0;40;0;0;
41.1594;2;Em movimento;0;1;-27;-10;0;40;0;0;
41.6648;2;Em movimento;0;1;-27;-10;0;40;0;0;
42.1824;2;Em movimento;0;1;-27;-10;0;40;0;0;
42.6894;2;Parado;0;1;-27;-10;0;40;0;0;
43.1977;2;Parado;0;1;-27;-10;0;40;0;0;
43.7035;2;Parado;0;1;-27;-10;0;40;0;0;
